participant_id,question_id,part,min,max,t_ij,valid_data,censored,LB,is_valid_time,invalid_time
participant_13,Q9,Part 2,856.23584,888.4083,32.172485,True,False,-43.915626249999995,True,False
participant_14,Q1,Part 1,3094.0361,3116.0132,21.97705,True,False,-15.267332750000005,True,False
participant_14,Q10,Part 1,3497.1133,3548.0212,50.90796,True,False,-24.73032000000001,True,False
participant_14,Q11,Part 1,3548.0212,3594.2134,46.19214,True,False,-23.071903749999997,True,False
participant_14,Q12,Part 2,3594.2134,3636.2996,42.08618,True,False,-25.296664500000006,True,False
participant_14,Q13,Part 2,3636.2996,3663.5017,27.202148,True,False,-59.49931249999999,True,False
participant_14,Q14,Part 1,3663.5017,3733.661,70.15918,True,False,-14.439941125,True,False
participant_14,Q15,Part 2,3733.661,3768.419,34.758057,True,False,-7.538453000000004,True,False
participant_14,Q2,Part 2,3116.0132,3158.267,42.253906,True,False,5.275637500000002,True,False
participant_14,Q3,Part 2,3158.267,3189.0398,30.772705,True,False,-5.320869999999985,True,False
participant_14,Q4,Part 1,3189.0398,3227.843,38.803223,True,False,2.0856787499999783,True,False
participant_14,Q5,Part 2,3227.843,3276.22,48.376953,True,False,-32.73797499999999,True,False
participant_14,Q6,Part 2,3276.22,3358.8643,82.64429,True,False,-2.6415825000000055,True,False
participant_14,Q7,Part 2,3358.8643,3382.315,23.450684,True,False,-19.12834125,True,False
participant_14,Q8,Part 2,3382.315,3464.994,82.678955,True,False,-13.506705624999995,True,False
participant_14,Q9,Part 2,3464.994,3497.1133,32.119385,True,False,-43.915626249999995,True,False
participant_15,Q1,Part 2,83.7511,133.64032,49.88922,True,False,-50.36237012500002,True,False
participant_15,Q10,Part 2,602.0808,657.939,55.858215,True,False,21.069945000000015,True,False
participant_15,Q11,Part 1,657.939,738.64136,80.70233,True,False,-23.071903749999997,True,False
participant_15,Q12,Part 2,738.64136,763.2384,24.597046,True,False,-25.296664500000006,True,False
participant_15,Q13,Part 1,763.2384,831.4218,68.18341,True,False,-36.8935275,True,False
participant_15,Q14,Part 1,831.4218,858.0879,26.666077,True,False,-14.439941125,True,False
participant_15,Q15,Part 2,858.0879,882.98584,24.89795,True,False,-7.538453000000004,True,False
participant_15,Q2,Part 2,133.64032,166.02097,32.380646,True,False,5.275637500000002,True,False
participant_15,Q3,Part 2,166.02097,240.19919,74.17822,True,False,-5.320869999999985,True,False
participant_15,Q4,Part 2,240.19919,298.71616,58.516968,True,False,-13.903518624999997,True,False
participant_15,Q5,Part 1,298.71616,311.11588,12.399719,True,False,-17.558349749999998,True,False
participant_15,Q6,Part 1,311.11588,366.47815,55.362274,True,False,-16.519976249999978,True,False
participant_15,Q7,Part 2,366.47815,442.35077,75.87262,True,False,-19.12834125,True,False
participant_15,Q8,Part 2,442.35077,515.59753,73.246765,True,False,-13.506705624999995,True,False
participant_15,Q9,Part 2,515.59753,602.0808,86.48328,True,False,-43.915626249999995,True,False
participant_16,Q1,Part 1,4048.6633,4106.973,58.309814,True,False,-15.267332750000005,True,False
participant_16,Q10,Part 2,4532.7515,4604.458,71.70654,True,False,21.069945000000015,True,False
