participant_id,question_id,part,min,max,t_ij,valid_data,censored,LB,is_valid_time,invalid_time,is_correct,label
participant_17,Q9,Part 1,598.70496,658.26099,59.556029999999964,True,False,14.444062500000342,True,False,0,UP
participant_18,Q1,Part 2,262.72916,304.97687,42.24771000000004,True,False,-50.36236749999948,True,False,0,UP
participant_18,Q10,Part 2,901.43201,962.64673,61.21472000000006,True,False,21.069950000000233,True,False,0,UP
participant_18,Q11,Part 2,962.64673,1045.91711,83.27038000000005,True,False,-40.907541250000634,True,False,0,UP
participant_18,Q12,Part 1,1045.91711,1132.99011,87.07299999999987,True,False,-33.935123749999576,True,False,1,NP
participant_18,Q13,Part 2,1132.99011,1169.60364,36.61353000000008,True,False,-59.499320000000125,True,False,0,UP
participant_18,Q14,Part 2,1169.60364,1205.49988,35.896240000000034,True,False,-15.682910000000703,True,False,0,UP
participant_18,Q15,Part 1,1205.49988,1226.98218,21.482299999999896,True,False,-50.906236250000276,True,False,1,NP
participant_18,Q2,Part 1,305.2514,395.15036,89.89895999999999,True,False,-33.965244999999996,True,False,1,NP
participant_18,Q3,Part 2,395.15036,431.49649,36.34613000000002,True,False,-5.320869999999928,True,False,0,UP
participant_18,Q4,Part 2,431.62424,503.87979,72.25555000000003,True,False,-13.903517500000689,True,False,1,NP
participant_18,Q5,Part 2,503.87979,581.78271,77.90291999999994,True,False,-32.73799000000031,True,False,0,NA_no_correct
participant_18,Q6,Part 1,581.78271,674.95142,93.16871000000003,True,False,-16.519989999999503,True,False,1,NP
participant_18,Q7,Part 2,674.95142,758.19922,83.24779999999998,True,False,-19.128347499999308,True,False,0,UP
participant_18,Q8,Part 2,758.19922,841.84894,83.64972,True,False,-13.50669250000017,True,False,0,UP
participant_18,Q9,Part 1,841.84894,901.43201,59.58307000000002,True,False,14.444062500000342,True,False,1,NP
participant_19,Q1,Part 1,90.80253,174.99591,84.19338,True,False,-15.267338749999706,True,False,0,UP
participant_19,Q2,Part 1,174.99591,256.91766,81.92175,True,False,-33.965244999999996,True,False,1,NP
participant_19,Q3,Part 2,256.91766,303.73502,46.81736000000001,True,False,-5.320869999999928,True,False,0,UP
participant_19,Q4,Part 2,303.73502,328.12332,24.38829999999996,True,False,-13.903517500000689,True,False,0,UP
participant_19,Q5,Part 2,328.12332,701.74152,373.61820000000006,True,False,-32.73799000000031,True,False,0,NA_no_correct
participant_2,Q1,Part 1,64.17496,112.75873,48.58377,True,False,-15.267338749999706,True,False,1,NP
participant_2,Q13,Part 2,785.88281,876.7337,90.85089000000005,True,False,-59.499320000000125,True,False,0,UP
participant_2,Q14,Part 1,876.7337,913.51477,36.78107,True,False,-14.439928750000348,True,False,1,NP
participant_2,Q15,Part 1,913.51477,1000.34021,86.82543999999996,True,False,-50.906236250000276,True,False,0,UP
participant_2,Q2,Part 2,112.75873,159.55391,46.79518,True,False,5.275629999999509,True,False,1,NP
participant_2,Q3,Part 1,159.55391,225.04417,65.49026,True,False,22.222594999999387,True,False,1,NP
participant_2,Q4,Part 2,225.04417,259.71548,34.671310000000005,True,False,-13.903517500000689,True,False,1,NP
participant_2,Q5,Part 2,259.71548,304.99673,45.28125,True,False,-32.73799000000031,True,False,0,NA_no_correct
participant_2,Q6,Part 2,320.06772,391.34573,71.27801,True,False,-2.641577499999663,True,False,0,UP
participant_2,Q7,Part 2,391.34573,481.57391,90.22818000000001,True,False,-19.128347499999308,True,False,0,UP
participant_2,Q8,Part 2,481.57391,537.62616,56.052250000000015,True,False,-13.50669250000017,True,False,0,UP
participant_2,Q9,Part 2,537.62616,625.89764,88.27148,True,False,-43.915629999999766,True,False,0,UP
participant_20,Q1,Part 2,578.7309,806.73871,228.00780999999995,True,False,-50.36236749999948,True,False,1,NP
participant_20,Q10,Part 2,1341.1073,1425.95056,84.8432600000001,True,False,21.069950000000233,True,False,1,UP
participant_20,Q11,Part 1,1425.95056,1517.2312,91.28063999999995,True,False,-23.071896249999938,True,False,1,NP
participant_20,Q12,Part 1,1517.2312,1554.91541,37.68421000000012,True,False,-33.935123749999576,True,False,1,NP
participant_20,Q13,Part 2,1554.91541,1600.82617,45.91075999999998,True,False,-59.499320000000125,True,False,1,NP
