BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV,participant_id,question_id,part,is_valid,AOI,randomness_label,randomness_label_num
0.0,0,44,1,0.39094,0.3848,0,0.87187,0.86667,0.21484,10880,4870.05713,1,0.40436,0.37577,-0.057,-0.01532,0.64643,0.26792,0.56928,16.52074,1,0.40848,0.39652,0.93149,0.00327,1,1,0.011,-0.01924,0.65779,0.54077,0.58744,15.71787,1,0.37339,0.37307,0.93813,0.00317,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.38973,0.38032,0,0.87187,0.86667,0.22119,10880,4870.05713,1,0.40393,0.3759,-0.05853,-0.01549,0.65766,0.26711,0.56887,16.82798,1,0.40624,0.39056,0.94497,0.00322,1,1,0.01015,-0.01829,0.63849,0.53974,0.58638,15.95935,1,0.37322,0.37008,0.94497,0.00309,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.36406,0.32052,0,0.87187,0.86667,0.22803,10880,4870.05713,1,0.40279,0.37432,-0.05853,-0.01549,0.65766,0.26569,0.56776,17.36085,1,0.34742,0.33409,0.95181,0.00331,1,1,0.01015,-0.01829,0.63849,0.53832,0.58506,16.02298,1,0.38069,0.30695,0.94517,0.00305,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.35435,0.27736,0,0.87187,0.86667,0.23535,10880,4870.05713,1,0.40144,0.37163,-0.05853,-0.01549,0.65766,0.26485,0.56679,16.98369,1,0.33456,0.30206,0.95201,0.00338,1,1,0.01015,-0.01829,0.63849,0.5372,0.58408,16.04149,1,0.37414,0.25265,0.94538,0.00301,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.35507,0.27694,0,0.87187,0.86667,0.2417,10880,4870.05713,1,0.40019,0.36907,-0.05869,-0.01482,0.6523,0.26372,0.56591,17.31956,1,0.33621,0.30525,0.94538,0.00352,1,1,0.0099,-0.01888,0.68053,0.53589,0.58229,15.50848,1,0.37394,0.24863,0.95284,0.00347,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.31416,0.25266,0,0.87187,0.86667,0.24854,10880,4870.05713,1,0.39793,0.36601,-0.05869,-0.01482,0.6523,0.26237,0.56481,17.73506,1,0.28622,0.26803,0.946,0.00353,1,1,0.0099,-0.01888,0.68053,0.53417,0.58054,16.23002,1,0.34211,0.2373,0.96011,0.00317,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.31655,0.25467,0,0.87187,0.86667,0.24854,10880,4870.05713,0,0.37358,0.34203,-0.05869,-0.01482,0.6523,0.26203,0.56441,17.97173,1,0.28616,0.26895,0.95327,0.00348,1,1,0.0099,-0.01888,0.68053,0.53369,0.58014,15.83859,1,0.34695,0.24039,0.96737,0.00331,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.31546,0.25299,0,0.87187,0.86667,0.24854,10880,4870.05713,0,0.34452,0.29751,-0.05753,-0.01429,0.63311,0.26117,0.56428,17.22598,1,0.28395,0.26549,0.96053,0.00377,1,1,0.00901,-0.01768,0.65663,0.5328,0.57962,16.55907,1,0.34696,0.24049,0.96717,0.00353,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.3269,0.2462,0,0.87187,0.86667,0.24854,10880,4870.05713,0,0.33865,0.28041,-0.05753,-0.01429,0.63311,0.26029,0.56378,17.55438,1,0.29508,0.26121,0.96717,0.00389,1,1,0.00901,-0.01768,0.65663,0.53233,0.57872,16.39656,1,0.35872,0.23119,0.9597,0.0035,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.34676,0.23546,0,0.87187,0.86667,0.24854,10880,4870.05713,0,0.32971,0.24488,-0.05753,-0.01429,0.63311,0.25971,0.56407,17.38287,1,0.30981,0.26298,0.9597,0.00363,1,1,0.00901,-0.01768,0.65663,0.53166,0.57762,15.94587,1,0.38371,0.20794,0.95223,0.00345,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
