BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV,participant_id,question_id,part,is_valid,AOI
0.0,0,8,1,0.17051,0.06955,0,0.88802,0.69352,0.06012,2723,758.30377,1,0.16687,0.08085,-0.06626,-0.06315,0.66298,0.23439,0.80118,23.24655,1,0.18785,0.10223,1.1011,0.00518,1,1,-0.00165,-0.06783,0.66495,0.48939,0.82209,21.54374,1,0.15317,0.03688,1.10909,0.00459,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.16688,0.0551,0,0.88802,0.69352,0.06683,2723,758.30377,1,0.16687,0.07851,-0.06449,-0.06137,0.64478,0.23424,0.8011,23.21816,1,0.18337,0.08885,1.11599,0.00517,1,1,-0.00174,-0.06743,0.663,0.48936,0.82204,21.6296,1,0.15039,0.02135,1.12398,0.00456,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.15335,0.06663,0,0.88385,0.66852,0.07336,2723,758.30377,1,0.16574,0.07752,-0.06449,-0.06137,0.64478,0.23408,0.80072,22.88785,1,0.17582,0.08617,1.11626,0.00514,1,1,-0.00174,-0.06743,0.663,0.48913,0.82189,21.89269,1,0.13088,0.0471,1.11626,0.00459,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.16689,0.05102,0,0.88385,0.66852,0.08002,2723,758.30377,1,0.16583,0.07548,-0.06449,-0.06137,0.64478,0.23411,0.80054,22.85625,1,0.16937,0.07649,1.10855,0.00512,1,1,-0.00174,-0.06743,0.663,0.48921,0.82173,21.77032,1,0.16442,0.02556,1.10855,0.00454,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.16761,0.05522,0,0.88385,0.66852,0.08661,2723,758.30377,1,0.16596,0.07403,-0.06342,-0.06012,0.63267,0.23399,0.80087,23.27895,1,0.16937,0.07649,1.10855,0.00517,1,1,-0.00172,-0.06495,0.6386,0.4894,0.82148,22.09131,1,0.16585,0.03395,1.10056,0.00447,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.17192,0.02612,0,0.88385,0.66852,0.09387,2723,758.30377,1,0.16636,0.07084,-0.06342,-0.06012,0.63267,0.23387,0.80067,23.07867,1,0.15876,0.05211,1.10828,0.00519,1,1,-0.00172,-0.06495,0.6386,0.48911,0.82127,21.6301,1,0.18508,0.00013,1.10029,0.0046,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.17637,0.06636,0,0.88385,0.66852,0.10034,2723,758.30377,1,0.16698,0.07056,-0.06342,-0.06012,0.63267,0.23388,0.80021,22.56153,1,0.16956,0.0994,1.108,0.00515,1,1,-0.00172,-0.06495,0.6386,0.48901,0.82117,21.29696,1,0.18318,0.03331,1.10002,0.00459,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.17503,0.05772,0,0.88021,0.64074,0.10718,2723,758.30377,1,0.16745,0.0698,-0.06342,-0.06012,0.63267,0.23382,0.80066,23.16974,1,0.16964,0.09964,1.10773,0.00516,1,1,-0.00193,-0.06877,0.67674,0.48896,0.821,21.29516,1,0.18041,0.01579,1.11672,0.00459,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.1632,0.05954,0,0.88021,0.64074,0.11383,2723,758.30377,1,0.16722,0.06923,-0.06342,-0.06012,0.63267,0.23369,0.80055,23.51581,1,0.16,0.07095,1.11672,0.00515,1,1,-0.00193,-0.06877,0.67674,0.48885,0.82104,21.61038,1,0.16641,0.04813,1.13369,0.00457,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.15404,0.02899,0,0.88021,0.64074,0.12042,2723,758.30377,1,0.16652,0.06712,-0.06342,-0.06012,0.63267,0.2336,0.80062,23.49148,1,0.15323,0.03502,1.13369,0.00517,1,1,-0.00193,-0.06877,0.67674,0.48878,0.8211,21.76954,1,0.15486,0.02296,1.15067,0.00451,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.15256,0.02454,0,0.88021,0.64074,0.12714,2723,758.30377,1,0.16583,0.06499,-0.06445,-0.061,0.64242,0.23361,0.80061,23.55555,1,0.1503,0.02639,1.14295,0.00518,1,1,-0.00194,-0.06719,0.66209,0.48871,0.82113,21.83559,1,0.15481,0.02269,1.15094,0.00451,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.17004,0.05104,0,0.88021,0.64074,0.13385,2723,758.30377,1,0.16603,0.06432,-0.06445,-0.061,0.64242,0.23342,0.80054,23.6206,1,0.17003,0.04598,1.14323,0.00514,1,1,-0.00194,-0.06719,0.66209,0.48852,0.82102,21.42706,1,0.17005,0.0561,1.13424,0.00455,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.15363,0.05349,0,0.87187,0.60556,0.1424,2723,758.30377,1,0.16546,0.06383,-0.06445,-0.061,0.64242,0.2331,0.8006,23.86744,1,0.16625,0.06059,1.12652,0.00518,1,1,-0.00194,-0.06719,0.66209,0.488,0.82111,21.78616,1,0.14101,0.04639,1.11754,0.00453,1,1,participant_10,question_14,Timer-No-Correct,True,Question
